The	﻿the
Knöchel.	knöchel
Und	und
zum	zum
nächsten:	nächsten:
"""Sag,"	"""sag"
wie	wie
heißt	heißt
er,	er
Böhmens	böhmens
Herr?	herr?
du	du
sollst	sollst
mirs	mirs
"deuten!"""	"deuten!"""
"""Graf"	"""graf"
von	von
"Turn!""--""Der"	"turn!""--""der"
Bürgermeister	bürgermeister
lasse	lasse
alle	alle
Glocken	glocken
"läuten!""--"	"läuten!""--"
8.	8
GOLD	gold
"""Dein"	"""dein"
Wams,	wams
Geliebter,	geliebter
ist	ist
voll	voll
Gold.	gold
Wo	wo
hast	hast
das	das
Gold	gold
du	du
"her?""--"	"her?""--"
"""Da"	"""da"
schaust	schaust
du,	du
Kind,	kind
das	das
ist	ist
mein	mein
Sold,	sold
kein	kein
Obrist	obrist
hat	hat
wohl	wohl
"mehr!"""	"mehr!"""
"""Nein,"	"""nein"
das	das
ist	ist
gutes,	gutes
rotes	rotes
Gold,	gold
das	das
kann	kann
dein	dein
Sold	sold
nicht	nicht
"sein!"""	"sein!"""
"""Beim"	"""beim"
Spielen	spielen
war	war
das	das
Glück	glück
mir	mir
hold,	hold
und	und
da	da
ward	ward
alles	alles
"mein!"""	"mein!"""
"""Ist"	"""ist"
wirklich	wirklich
alles	alles
dein--das	dein--das
Gold,	gold
gesteh,--und	gesteh,--und
ists	ists
kein	kein
"Trug?""--"	"trug?""--"
"""Nun,"	"""nun"
Würfel	würfel
haben	haben
mit	mit
gerollt	gerollt
und	und
jetzt	jetzt
laß	laß
es	es
"genug!"""	"genug!"""
"""Und"	"""und"
gibst	gibst
du	du
mir	mir
auch	auch
von	von
dem	dem
"Gold?"""	"gold?"""
"""Das"	"""das"
weißt	weißt
"du!""--""Nein,"	"du!""--""nein"
du	du
Schelm,	schelm
just	just
auf	auf
der	der
Stelle,	stelle
sieh,	sieh
ich	ich
wollt,	wollt
du	du
füllst	füllst
mir	mir
deinen	deinen
"Helm!"""	"helm!"""
"""Es"	"""es"
"sei!""--""Wies"	"sei!""--""wies"
durch	durch
die	die
Finger	finger
bebt,	bebt
der	der
Glanz	glanz
gefällt	gefällt
mir	mir
gut!--	gut!--
...	
Schau,	schau
was	was
dir	dir
da	da
am	am
Finger	finger
klebt,	klebt
kam	kam
das	das
vom	vom
"Golde?--Blut!""--...."	"golde?--blut!""--"
9.	9
SZENE	szene
Du	du
kniest	kniest
am	am
Markstein,	markstein
Alter,	alter
sprich!--	sprich!--
Das	das
ist	ist
kein	kein
"Heilgenbild!"""	"heilgenbild!"""
"""Kein"	"""kein"
Bild?--Ich	bild?--ich
bet.--Es	bet.--es
faßte	faßte
mich	mich
das	das
Schicksal	schicksal
gar	gar
so	so
"wild."""	"wild."""
"""Hast"	"""hast"
du	du
kein	kein
Haus,	haus
hast	hast
du	du
kein	kein
Land,	land
das	das
deiner	deiner
Hände	hände
"braucht?"""	"braucht?"""
"""Das"	"""das"
Land	land
zerstampft,	zerstampft
das	das
Haus	haus
verbrannt,	verbrannt
sieh	sieh
hin--gewiß--es	hin--gewiß--es
"raucht."""	"raucht."""
"""Was"	"""was"
bauts	bauts
nicht	nicht
wieder	wieder
auf	auf
dein	dein
Sohn	sohn
und	und
hilft	hilft
dir	dir
aus	aus
der	der
"Not?"""	"not?"""
"""Mein"	"""mein"
Sohn	sohn
zog	zog
in	in
den	den
Krieg	krieg
davon,	davon
jetzt	jetzt
ist	ist
er	er
sicher	sicher
"tot.""--"	"tot.""--"
"""Was"	"""was"
streicht	streicht
dir	dir
deines	deines
Haares	haares
Schnee	schnee
der	der
Tochter	tochter
Hand	hand
nicht,	nicht
"weich?""--"	"weich?""--"
"""Der"	"""der"
bracht	bracht
ein	ein
Troßbub	troßbub
Schand	schand
und	und
Weh,	weh
da	da
sprang	sprang
sie	sie
in	in
den	den
"Teich.""--"	"teich.""--"
"""So"	"""so"
sieh	sieh
mir	mir
ins	ins
Gesicht!--Und	gesicht!--und
brach	brach
das	das
Herz	herz
dir	dir
auch	auch
vor	vor
"Graus...."""	"graus...."""
*	*
*	*
*	*
*	*
*	*
"""Ich"	"""ich"
kann	kann
nicht,	nicht
Herr,	herr
ein	ein
Kriegsknecht	kriegsknecht
stach	stach
mir	mir
beide	beide
Augen	augen
"aus."""	"aus."""
10.	10
FEUERLILIE	feuerlilie
Winters,	winters
ab	ab
die	die
Äste	äste
krachten,	krachten
keine	keine
Bäche	bäche
konnten	konnten
frieren,	frieren
weil	weil
die	die
Fluten	fluten
Blutes	blutes
ihren	ihren
Pulsschlag	pulsschlag
immer	immer
neu	neu
entfachten.	entfachten
Als	als
die	die
Zeit	zeit
kam,	kam
da	da
die	die
Blume	blume
aufwacht	aufwacht
und	und
der	der
Vogel	vogel
flötet,	flötet
sprang	sprang
die	die
Lilie	lilie
selbst	selbst
gerötet	gerötet
aus	aus
der	der
todgedüngten	todgedüngten
Krume.	krume
11.	11
BEIM	beim
FRIEDLAND	friedland
Heimgekehrt	heimgekehrt
von	von
Schlacht	schlacht
und	und
Schlag	schlag
freut	freut
sich	sich
Obrist	obrist
und	und
Gemeiner;	gemeiner;
denn	denn
jetzt	jetzt
hält	hält
der	der
Wallensteiner	wallensteiner
wieder	wieder
seinen	seinen
Hof	hof
zu	zu
Prag.	prag
Just	just
ließ	ließ
frei	frei
den	den
Turn	turn
er	er
ziehn;	ziehn;
das	das
war	war
so	so
von	von
seinen	seinen
Trümpfen	trümpfen
einer.--Drauf	einer.--drauf
ward	ward
Nasenrümpfen	nasenrümpfen
Mode	mode
...	
dort	dort
bei	bei
Hof	hof
zu	zu
Wien.	wien
Laßt	laßt
sie	sie
zetern.	zetern
Friedlands	friedlands
Heer	heer
muß	muß
nicht	nicht
darben	darben
und	und
nicht	nicht
dürsten,--	dürsten,--
und	und
aus	aus
Knechten	knechten
macht	macht
er	er
Fürsten,	fürsten
unser	unser
Herzog.--Wer	herzog.--wer
kann	kann
mehr?	mehr?
12.	12
FRIEDEN	frieden
Prag	prag
gebar	gebar
die	die
Mißgestalt	mißgestalt
dieses	dieses
Krieges,	krieges
der	der
voll	voll
Tücke	tücke
hauste.--Auf	hauste.--auf
der	der
Karlsbrücke	karlsbrücke
starb	starb
er,	er
dreißig	dreißig
Jahre	jahre
alt.	alt
Endlich	endlich
riß	riß
das	das
Eisenstück	eisenstück
nur	nur
dem	dem
Acker	acker
eine	eine
Schramme,	schramme
und	und
vom	vom
Kirchturm	kirchturm
schlug	schlug
die	die
Flamme	flamme
in	in
den	den
trauten	trauten
Herd	herd
zurück.	zurück
BEI	bei
DEN	den
URSULINEN	ursulinen
Geh	geh
mittags	mittags
zu	zu
den	den
Ursulinen,	ursulinen
wenn	wenn
man	man
den	den
Armen	armen
Speise	speise
trug,	trug
da	da
siehst	siehst
du,	du
wie	wie
in	in
müde	müde
Mienen	mienen
die	die
Not	not
schrieb	schrieb
ihren	ihren
Namenszug.	namenszug
Da	da
siehst	siehst
du	du
Stirnen,	stirnen
die	die
schon	schon
frühe	frühe
des	des
Schmerzes	schmerzes
Eisenreif	eisenreif
umschloß,	umschloß
und	und
Wangen,	wangen
die	die
der	der
Dunst	dunst
der	der
Brühe	brühe
mit	mit
falscher	falscher
Röte	röte
übergoß.	übergoß
Du	du
hörst,	hörst
wie	wie
leisem	leisem
Dankesworte	dankesworte
sich	sich
Fluch	fluch
bald,	bald
bald	bald
Gebet	gebet
gesellt:	gesellt:
so	so
brandet	brandet
an	an
der	der
Klosterpforte	klosterpforte
das	das
ganze	ganze
Elend	elend
dieser	dieser
Welt.	welt
AUS	aus
DER	der
KINDERZEIT	kinderzeit
Sommertage	sommertage
auf	auf
der	der
"""Golka""...."	"""golka"""
Ich,	ich
ein	ein
Kind	kind
noch--Leise	noch--leise
her,	her
aus	aus
dem	dem
Gasthaus	gasthaus
klingt	klingt
die	die
Polka,	polka
und	und
die	die
Luft	luft
ist	ist
sonnenschwer.	sonnenschwer
Sonntag	sonntag
ists.--Es	ists.--es
liest	liest
Helene	helene
lieb	lieb
mir	mir
vor.--Im	vor.--im
Lichtgeglänz	lichtgeglänz
ziehn	ziehn
die	die
Wolken,	wolken
wie	wie
die	die
Schwäne	schwäne
aus	aus
dem	dem
Märchen	märchen
Andersens.	andersens
Schwarze	schwarze
Fichten	fichten
stehn	stehn
wie	wie
Wächter	wächter
bei	bei
der	der
Wiesen	wiesen
buntem	buntem
Schatz;	schatz;
von	von
der	der
Straße	straße
dringt	dringt
Gelächter	gelächter
bis	bis
zu	zu
unserm	unserm
Laubenplatz.	laubenplatz
An	an
die	die
Mauer	mauer
lockt	lockt
uns	uns
beide	beide
mancher	mancher
laute	laute
Jubelschrei:	jubelschrei:
drunten	drunten
geht	geht
im	im
Feierkleide	feierkleide
Paar	paar
um	um
Paar	paar
zum	zum
Tanz	tanz
vorbei.	vorbei
Bunt	bunt
und	und
selig,	selig
Bursch	bursch
und	und
Holka,	holka
Glück	glück
und	und
Sonne	sonne
im	im
Gesicht!--	gesicht!--
Sommertage	sommertage
auf	auf
der	der
"""Golka"",--"	"""golka"",--"
und	und
die	die
Luft	luft
war	war
voller	voller
Licht....	licht
RABBI	rabbi
LÖW	löw
"""WESER"	"""weser"
Rabbi,	rabbi
hoher	hoher
Liva,	liva
hilf	hilf
uns	uns
aus	aus
dem	dem
Bann	bann
der	der
Not;	not;
heut	heut
gibt	gibt
uns	uns
Jehova	jehova
Kinder,	kinder
morgen	morgen
raubt	raubt
sie	sie
uns	uns
der	der
Tod.	tod
Schon	schon
faßt	faßt
Beth	beth
Chaim	chaim
nicht	nicht
die	die
Scharen,	scharen
und	und
kaum	kaum
hat	hat
der	der
Leichenwart	leichenwart
eins	eins
bestattet,	bestattet
nahen	nahen
andre	andre
Tote;	tote;
Rabbi,	rabbi
das	das
ist	ist
"hart."""	"hart."""
Und	und
der	der
Rabbi;	rabbi;
"""Geht"	"""geht"
und	und
schickt	schickt
mir	mir
einen	einen
Bocher	bocher
rasch	rasch
"herein--"""	"herein--"""
So	so
geschiehts;	geschiehts;
"""Wagst"	"""wagst"
du	du
nach	nach
Beth	beth
Chaim	chaim
diese	diese
Nacht	nacht
dich	dich
ganz	ganz
"allein;"""	"allein;"""
"""Du"	"""du"
befiehlst	befiehlst
es,	es
weiser	weiser
"Meister?"""	"meister?"""
"""Gut,"	"""gut"
so	so
hör,	hör
um	um
Mitternacht	mitternacht
tanzen	tanzen
all	all
die	die
Kindergeister	kindergeister
auf	auf
den	den
grauen	grauen
Steinen	steinen
sacht.	sacht
Birg	birg
dich	dich
dorten	dorten
im	im
Gebete,	gebete
und	und
wenn	wenn
Furcht	furcht
dein	dein
Herz	herz
beklemmt,	beklemmt
Streif	streif
sie	sie
ab:	ab:
Du	du
raubst	raubst
dem	dem
nächsten	nächsten
Kinde	kinde
kühn	kühn
sein	sein
Leichenhemd,	leichenhemd
raubst	raubst
es,--bringst	es,--bringst
es	es
her	her
im	im
Fluge,	fluge
her	her
zu	zu
mir!	mir
Begreifst	begreifst
du	du
"wohl?"""	"wohl?"""
"""Wie"	"""wie"
du	du
heißest	heißest
tun	tun
mich,	mich
Meister,	meister
tu	tu
"ich!"""	"ich!"""
klingt	klingt
die	die
Antwort	antwort
hohl.	hohl
Mitternacht	mitternacht
und	und
Mondgegleiße,--	mondgegleiße,--
...	
und	und
es	es
stürzt	stürzt
der	der
totenblasse	totenblasse
Bocher	bocher
bebend	bebend
durch	durch
die	die
Gasse,	gasse
in	in
der	der
Hand	hand
das	das
Hemd,	hemd
das	das
weiße.	weiße
Da	da
jetzt	jetzt
...	
sind	sind
das	das
seine	seine
Schritte?...	schritte?
Jach	jach
kehrt	kehrt
er	er
zurück	zurück
das	das
bleiche	bleiche
Antlitz:	antlitz:
weh,	weh
die	die
Kindesleiche,	kindesleiche
folgt	folgt
ihm	ihm
nach,	nach
im	im
Aug	aug
die	die
Bitte:	bitte:
"""..."	""""
Gib	gib
das	das
Linnen,	linnen
ohne	ohne
Linnen	linnen
lassen	lassen
mich	mich
nicht	nicht
ein	ein
die	die
"Geister...."""	"geister...."""
Und	und
der	der
Bocher,	bocher
halb	halb
von	von
Sinnen,	sinnen
reicht	reicht
es	es
endlich	endlich
seinem	seinem
Meister.	meister
Und	und
schon	schon
naht	naht
der	der
Geist	geist
mit	mit
Klagen....	klagen
"""Sag,"	"""sag"
was	was
sterben	sterben
hundert	hundert
binnen	binnen
Tagen?--Kind,	tagen?--kind
du	du
mußt	mußt
es	es
sagen,	sagen
früher	früher
darfst	darfst
du	du
nicht	nicht
von	von
"hinnen."""	"hinnen."""
So	so
der	der
"Rabbi.--""Wehe,"	"rabbi.--""wehe"
"wehe,"""	"wehe,"""
ruft	ruft
der	der
Geist,	geist
"""aus"	"""aus"
unserm	unserm
Stamme	stamme
haben	haben
zwei	zwei
entehrt	entehrt
der	der
Ehe	ehe
keusche,	keusche
reine	reine
Altarflamme!	altarflamme
Hier	hier
die	die
Namen!--Sucht	namen!--sucht
nicht	nicht
fremde	fremde
Ursach,	ursach
daß	daß
euch	euch
Tod	tod
"beschieden...."""	"beschieden...."""
Und	und
der	der
Rabbi	rabbi
reicht	reicht
das	das
Hemde	hemde
jetzt	jetzt
dem	dem
Kinde:	kinde:
"""Zieh"	"""zieh"
in	in
"Frieden!"""	"frieden!"""
Kaum,	kaum
daß	daß
aus	aus
dem	dem
Nachtkelch	nachtkelch
maijung	maijung
stieg	stieg
der	der
Tag	tag
in	in
rosgem	rosgem
Licht,	licht
hielt	hielt
der	der
Rabbi	rabbi
schon	schon
Gericht,--	gericht,--
und	und
der	der
Unschuld	unschuld
ward	ward
Befreiung.	befreiung
Mit	mit
der	der
Geißel	geißel
des	des
Gesetzes	gesetzes
brandmarkt	brandmarkt
er	er
die	die
Sünderstirn;--	sünderstirn;--
langsam	langsam
löste	löste
jedes	jedes
Hirn	hirn
ich	ich
vom	vom
Bann	bann
des	des
Fluchgenetzes.	fluchgenetzes
Manches	manches
Paar	paar
war	war
da	da
erschienen,	erschienen
dankerfüllt,	dankerfüllt
daß	daß
Gott	gott
verzieh,	verzieh
und	und
der	der
Weise	weise
segnet	segnet
sie.--	sie.--
Freude	freude
lag	lag
auf	auf
aller	aller
Mienen.	mienen
Nur	nur
der	der
Bocher	bocher
warf,	warf
der	der
bleiche,	bleiche
sich	sich
im	im
Fieber	fieber
hin	hin
und	und
her....	her
Doch	doch
nach	nach
Beth	beth
Chaim	chaim
lange	lange
mehr	mehr
trug	trug
man	man
keine	keine
Kindesleiche.	kindesleiche
DIE	die
ALTE	alte
UHR	uhr
Bald	bald
hättest,	hättest
alte	alte
Rathausuhr,	rathausuhr
du	du
nimmer	nimmer
dürfen	dürfen
Stunden	stunden
weisen;	weisen;
sie	sie
hätten	hätten
bald	bald
in	in
altem	altem
Eisen	eisen
versplittert	versplittert
deine	deine
letzte	letzte
Spur.	spur
Der	der
Geizhals	geizhals
hart	hart
zum	zum
letztenmal	letztenmal
sein	sein
Haupt	haupt
gewiegt	gewiegt
in	in
starrem	starrem
Trotzen,	trotzen
zum	zum
letztenmal	letztenmal
der	der
Tod	tod
mit	mit
Glotzen	glotzen
geschwungen	geschwungen
seinen	seinen
Sensenstahl.	sensenstahl
Dann	dann
hätt	hätt
der	der
Hahn	hahn
auch	auch
ausgekräht.	ausgekräht
Und	und
heut	heut
noch	noch
kräht	kräht
er;	er;
freilich	freilich
heiser,	heiser
noch	noch
nickt	nickt
der	der
Geizhals	geizhals
fort,	fort
und	und
leiser	leiser
droht	droht
ihm	ihm
des	des
Todes	todes
Majestät.	majestät
KÄMPFEN	kämpfen
I	i
Ein	ein
heißer	heißer
Eid,	eid
ein	ein
gramerpreßter,	gramerpreßter
der	der
leicht	leicht
von	von
jungen	jungen
Lippen	lippen
rinnt,	rinnt
der	der
machte	machte
zur	zur
barmherzgen	barmherzgen
Schwester	schwester
fast	fast
über	über
Nacht	nacht
ein	ein
blondes	blondes
Kind.	kind
Des	des
jungen	jungen
Lebens	lebens
Wellen	wellen
fließen	fließen
fortan	fortan
durch	durch
Krankenstuben	krankenstuben
still;	still;
es	es
träumt	träumt
ihr	ihr
Herz	herz
noch	noch
vom	vom
Genießen,	genießen
wenn	wenn
auch	auch
das	das
Aug	aug
es	es
leugnen	leugnen
will.	will
Denn	denn
mit	mit
der	der
Strenge	strenge
der	der
Asketen	asketen
drängt	drängt
sie	sie
zurück,	zurück
was	was
in	in
ihr	ihr
quillt,	quillt
und	und
geht	geht
um	um
Kraft	kraft
nach	nach
Emaus	emaus
beten	beten
zum	zum
wunderstarken	wunderstarken
Gnadenbild.	gnadenbild
SIEGEN	siegen
II	ii
Der	der
Tag	tag
beginnt	beginnt
sich	sich
kaum	kaum
zu	zu
lichten;	lichten;
"""Heut"	"""heut"
sei	sei
im	im
Glauben	glauben
stark	stark
wie	wie
nie	nie
und	und
geh	geh
mit	mit
Gott	gott
an	an
deine	deine
Pflichten:	pflichten:
Es	es
ist	ist
ein	ein
Fall	fall
von	von
"Diphtherie...."""	"diphtherie...."""
Sie	sie
pflegt	pflegt
und	und
küßt	küßt
den	den
kleinen	kleinen
Kranken,	kranken
und	und
doch	doch
packt	packt
ihn	ihn
der	der
Tod	tod
beim	beim
Hals....	hals
Spät	spät
rafft	rafft
sie	sie
auf	auf
sich,	sich
heimzuwanken,	heimzuwanken
erfröstelnd	erfröstelnd
in	in
dem	dem
Schutz	schutz
des	des
Schals.	schals
Als	als
man	man
vorbei	vorbei
beim	beim
Kloster	kloster
gestern	gestern
den	den
Kleinen	kleinen
trug	trug
ins	ins
Bett	bett
von	von
Lehm,	lehm
klang	klang
aus	aus
der	der
"""Kirche"	"""kirche"
von	von
den	den
"Schwestern"""	"schwestern"""
ganz	ganz
leis	leis
ein	ein
Totenrequiem....	totenrequiem
IM	im
HERBST	herbst
Ein	ein
Riesenspinngewebe,	riesenspinngewebe
zieht	zieht
Altweibersommer	altweibersommer
durch	durch
die	die
Welt	welt
sich;--	sich;--
und	und
der	der
Laurenziberg	laurenziberg
gefällt	gefällt
sich	sich
im	im
goldig-bläulichen	goldig-bläulichen
Habit.	habit
Weil	weil
er	er
so	so
mild	mild
herübersieht,	herübersieht
sucht	sucht
müd,	müd
gestützt	gestützt
auf	auf
Strahlenkrücken,	strahlenkrücken
die	die
Sonne	sonne
hinter	hinter
seinem	seinem
Rücken	rücken
schon	schon
frühe	frühe
ihr	ihr
Valladolid.	valladolid
DER	der
KLEINE	kleine
"""DRATENÍK"""	"""drateník"""
Kommt	kommt
so	so
ein	ein
Bursche,	bursche
ein	ein
junger,	junger
Mausfallen,	mausfallen
Siebe	siebe
am	am
Rücken,	rücken
folgt	folgt
mir	mir
durch	durch
Gassen	gassen
und	und
Brücken:	brücken:
"""Herr,"	"""herr"
ich	ich
hab	hab
'türkischen	'türkischen
Hunger'.	hunger'
Nur	nur
einen	einen
Krajcar,	krajcar
nur	nur
einen	einen
für	für
ein	ein
Stück	stück
Brot,	brot
milost'	milost'
"pánků!"""	"pánků!"""
Da!--Und	da!--und
er	er
stammelt	stammelt
mir	mir
Dank	dank
zu,	zu
doch	doch
läßt	läßt
nicht	nicht
Ruh	ruh
er	er
den	den
Beinen.	beinen
Lebt	lebt
nicht	nicht
von	von
bloßem	bloßem
Gelunger.--	gelunger.--
Riecht	riecht
an	an
den	den
Türen	türen
den	den
Braten	braten
und	und
muß	muß
die	die
Pfannen	pfannen
doch	doch
drahten--	drahten--
leer:--das	leer:--das
macht	macht
'türkischen	'türkischen
Hunger'.	hunger'
IN	in
DER	der
VORSTADT	vorstadt
Die	die
Alte	alte
oben	oben
mit	mit
dem	dem
heisern	heisern
Husten,	husten
ja,	ja
die	die
ist	ist
tot.--Wer	tot.--wer
war	war
sie?--Du	sie?--du
mein	mein
Gott,	gott
sie	sie
gab	gab
uns	uns
nichts,--ihr	nichts,--ihr
gab	gab
man	man
Hohn	hohn
und	und
Spott....	spott
Kaum,	kaum
daß	daß
die	die
Leute	leute
ihren	ihren
Namen	namen
wußten.	wußten
Und	und
unten	unten
stand	stand
der	der
schwarze	schwarze
Kastenwagen.	kastenwagen
Die	die
letzte	letzte
Klasse;	klasse;
als	als
der	der
Totenschrein	totenschrein
sich	sich
spreizte,	spreizte
stieß	stieß
man	man
fluchend	fluchend
ihn	ihn
hinein,	hinein
und	und
dann	dann
ward	ward
rauh	rauh
die	die
Türe	türe
zugeschlagen.	zugeschlagen
Der	der
Kutscher	kutscher
hieb	hieb
in	in
seine	seine
magern	magern
Mähren	mähren
und	und
fuhr	fuhr
im	im
Trab	trab
so	so
leicht	leicht
zum	zum
Friedhof	friedhof
hin,	hin
als	als
wenn	wenn
da	da
nicht	nicht
ein	ein
ganzes	ganzes
Leben	leben
drin	drin
voll	voll
Weh	weh
und	und
Glück	glück
und	und
tote	tote
Träume	träume
waren.	waren
BEI	bei
ST.	st
HEINRICH	heinrich
Hart	hart
am	am
Kirchenaltargitter,	kirchenaltargitter
wo	wo
die	die
Ampel	ampel
flammt,	flammt
die	die
matte,	matte
schlaft	schlaft
ein	ein
alter,	alter
alter	alter
Ritter	ritter
unter	unter
grauer	grauer
Wappenplatte.	wappenplatte
Lebend	lebend
hielt	hielt
er	er
hoch	hoch
sein	sein
Wappen,	wappen
sorgte	sorgte
immer	immer
für	für
sein	sein
Blinken;--	blinken;--
weiß	weiß
er,	er
daß	daß
mit	mit
schmutzgen	schmutzgen
Schlappen	schlappen
alte	alte
Weiber	weiber
drüber	drüber
hinken?	hinken?
MITTELBÖHMISCHE	mittelböhmische
LANDSCHAFT	landschaft
Fern	fern
dämmert	dämmert
wogender	wogender
Wälder	wälder
beschatteter	beschatteter
Saum.	saum
Dann	dann
unterbricht	unterbricht
nur	nur
hie	hie
und	und
da	da
ein	ein
Baum	baum
die	die
falbe	falbe
Fläche	fläche
hoher	hoher
Ährenfelder.	ährenfelder
Im	im
hellsten	hellsten
Licht	licht
keimt	keimt
die	die
Kartoffel;	kartoffel;
dann	dann
ein	ein
wenig	wenig
weiter	weiter
Gerste,	gerste
bis	bis
der	der
Tann	tann
das	das
Bild	bild
begrenzt.	begrenzt
Hoch	hoch
überm	überm
Jungwald	jungwald
glänzt	glänzt
so	so
goldig-rot	goldig-rot
ein	ein
Kirchturmkreuz	kirchturmkreuz
herüber	herüber
aus	aus
Fichten	fichten
ragt	ragt
der	der
Hegerhütte	hegerhütte
Bau;--	bau;--
und	und
drüber	drüber
wölbt	wölbt
sich	sich
ein	ein
Himmel,	himmel
blank	blank
und	und
blau.	blau
DAS	das
HEIMATLIED	heimatlied
Vom	vom
Feld	feld
klingt	klingt
ernste	ernste
Weise;	weise;
weiß	weiß
nicht,	nicht
wie	wie
mir	mir
geschieht....	geschieht
"""Komm"	"""komm"
her,	her
du	du
Tschechenmädchen,	tschechenmädchen
sing	sing
mir	mir
ein	ein
"Heimatlied.""--"	"heimatlied.""--"
Das	das
Mädchen	mädchen
läßt	läßt
die	die
Sichel,	sichel
ist	ist
hier	hier
mit	mit
Husch	husch
und	und
Hui,--	hui,--
setzt	setzt
nieder	nieder
sich	sich
am	am
Feldrain	feldrain
und	und
singt:	singt:
"""Kde"	"""kde"
domov	domov
"můj""...."	"můj"""
Jetzt	jetzt
schweigt	schweigt
sie	sie
still.	still
Voll	voll
Tränen	tränen
das	das
Aug	aug
mir	mir
zugewandt,--	zugewandt,--
nimmt	nimmt
meine	meine
Kupferkreuzer	kupferkreuzer
und	und
küßt	küßt
mir	mir
stumm	stumm
die	die
Hand.	hand
*	*
*	*
*	*
*	*
*	*
TRAUMGEKRÖNT	traumgekrönt
(1897)	(1897)
KÖNIGSLIED	königslied
Darfst	darfst
das	das
Leben	leben
mit	mit
Würde	würde
ertragen,	ertragen
nur	nur
die	die
Kleinlichen	kleinlichen
macht	macht
es	es
klein;	klein;
Bettler	bettler
können	können
dir	dir
Bruder	bruder
sagen,	sagen
und	und
du	du
kannst	kannst
doch	doch
ein	ein
König	könig
